R-OTE
FrameNum,Time,Value,Ref1,Ref2,Ref3
0,[18:58:32.9070],2543.818182,4818.000000,7406.636364,5220.333333
1,[18:58:33.2070],1308.000000,3940.166667,7305.384615,5065.909091
2,[18:58:33.5070],2308.666667,4422.000000,6823.333333,4625.333333
3,[18:58:33.8070],2109.615385,4645.545455,7359.000000,5063.500000
4,[18:58:34.1070],580.076923,2049.000000,3460.333333,1989.846154
5,[18:58:34.4070],1041.000000,4391.000000,5442.538462,4019.090909
6,[18:58:34.7070],2403.400000,3064.461538,5568.333333,3228.000000
7,[18:58:35.0070],1806.666667,3839.000000,6075.538462,2857.833333
8,[18:58:35.3050],2390.000000,5189.333333,7001.153846,3513.000000
9,[18:58:35.6070],1662.384615,4720.000000,6673.000000,5810.076923
10,[18:58:35.9070],2666.000000,5136.692308,7098.769231,3783.818182
11,[18:58:36.2070],2442.846154,4468.600000,7487.800000,3472.000000
12,[18:58:36.5070],2370.000000,3935.333333,6523.000000,3508.769231
13,[18:58:36.8070],2511.181818,5355.000000,6242.000000,4125.833333
14,[18:58:37.1070],2212.363636,4331.000000,6177.666667,3245.000000
15,[18:58:37.4070],2223.000000,4375.000000,7939.000000,3971.636364
16,[18:58:37.7070],1659.000000,3154.461538,4893.000000,3963.000000
17,[18:58:38.0070],2719.666667,2965.000000,7525.166667,3890.000000
18,[18:58:38.3070],2301.333333,4047.600000,7369.000000,4451.333333
19,[18:58:38.6070],2682.000000,4845.000000,6603.153846,3474.000000
20,[18:58:38.9080],1898.600000,3772.500000,4726.000000,2968.000000
21,[18:58:39.2070],2474.545455,4548.333333,5843.000000,3703.000000
22,[18:58:39.5070],2265.923077,5011.000000,7311.000000,3969.000000
23,[18:58:39.8070],2840.000000,4468.769231,7025.461538,3942.000000
24,[18:58:40.1050],2526.000000,4121.461538,6873.923077,5486.230769
25,[18:58:40.4050],1190.384615,1984.000000,4357.153846,2400.000000
26,[18:58:40.7070],1963.000000,4076.454545,6556.000000,3553.384615
27,[18:58:41.0190],2262.666667,4092.000000,4799.000000,2777.000000
28,[18:58:41.3080],1059.909091,4635.769231,5639.000000,3652.000000
29,[18:58:41.6070],3661.538462,5176.000000,6961.384615,4454.000000
30,[18:58:41.9070],2352.230769,5590.769231,7646.000000,4827.000000
31,[18:58:42.2070],1762.153846,3553.000000,6045.923077,3693.666667
32,[18:58:42.5070],2128.076923,5044.000000,6917.090909,3120.000000
33,[18:58:42.8070],2726.000000,4391.000000,6549.000000,4250.000000
34,[18:58:43.1070],2162.076923,4593.000000,7254.000000,3570.153846
35,[18:58:43.4070],1914.307692,5390.666667,7153.000000,3649.000000
36,[18:58:43.7070],2340.000000,4406.333333,6087.400000,3342.000000
37,[18:58:44.0070],2403.000000,4776.000000,6357.000000,5450.333333
38,[18:58:44.3070],966.076923,2594.000000,3997.000000,2248.000000
39,[18:58:44.6070],2243.000000,3739.000000,7111.000000,3685.076923
40,[18:58:44.9070],2643.769231,3938.000000,6728.000000,4181.000000
41,[18:58:45.2050],2573.000000,5473.454545,7136.000000,3852.000000
42,[18:58:45.5050],1917.000000,4339.500000,6359.888889,3962.615385
43,[18:58:45.8070],3446.666667,4700.000000,5821.000000,4333.000000
44,[18:58:46.1070],2612.000000,3975.461538,7244.000000,4450.000000
45,[18:58:46.4070],2526.909091,4250.769231,7706.400000,3991.846154
46,[18:58:46.7070],2754.000000,4640.000000,6549.000000,3609.727273
47,[18:58:47.0070],2348.000000,4834.500000,7223.000000,4595.000000
48,[18:58:47.3070],2532.538462,5148.307692,6697.000000,4876.800000
49,[18:58:47.6080],2436.166667,4519.000000,6040.846154,4534.153846
50,[18:58:47.9070],1998.500000,5115.923077,6532.833333,4463.833333
51,[18:58:48.2070],1742.000000,4545.000000,5670.000000,2855.000000
52,[18:58:48.5070],1150.000000,3643.000000,5699.384615,4071.000000
53,[18:58:48.8070],1635.000000,3795.846154,5649.000000,3922.000000
54,[18:58:49.1070],2282.000000,4541.000000,5133.000000,3061.400000
55,[18:58:49.4080],2584.500000,3589.000000,7092.000000,3713.769231
56,[18:58:49.7070],1932.666667,3084.307692,5308.000000,3154.769231
57,[18:58:50.0080],1469.000000,3059.000000,3295.461538,2041.545455
58,[18:58:50.3050],1375.833333,4010.230769,5719.000000,4148.000000
59,[18:58:50.6070],1204.923077,3180.000000,4912.846154,3239.846154
60,[18:58:50.9080],2111.307692,3933.230769,6547.166667,3404.000000
61,[18:58:51.2370],2880.636364,4435.000000,5397.000000,3543.538462
62,[18:58:51.5070],3416.200000,4930.000000,7643.000000,3628.384615
63,[18:58:51.8080],1770.500000,5125.230769,5782.615385,4081.000000
64,[18:58:52.1070],2403.818182,4131.200000,7561.461538,2777.153846
65,[18:58:52.4070],2138.846154,3895.000000,5535.000000,2689.461538
66,[18:58:52.7080],2261.800000,4942.615385,6280.333333,3897.000000
67,[18:58:53.0080],2060.000000,4428.000000,6339.923077,3157.076923
68,[18:58:53.3080],3418.500000,4031.727273,7383.076923,3517.000000
69,[18:58:53.6070],2902.846154,4365.545455,8283.000000,4167.000000
70,[18:58:53.9080],2284.500000,3821.200000,5294.615385,4058.400000
71,[18:58:54.2070],2316.461538,4554.000000,7326.500000,4304.692308
72,[18:58:54.5080],241.000000,2927.833333,2639.000000,1796.000000
73,[18:58:54.8080],2198.000000,4463.000000,6590.500000,4205.307692
74,[18:58:55.1050],1100.000000,4375.750000,5415.000000,3673.000000
75,[18:58:55.4060],2410.666667,4496.500000,7438.166667,3912.923077
76,[18:58:55.7080],2312.833333,5077.538462,7121.363636,3543.333333
77,[18:58:56.0190],2140.000000,3898.000000,6081.000000,3953.666667
78,[18:58:56.3080],1670.615385,4400.000000,6716.000000,4152.000000
79,[18:58:56.6080],1554.000000,5213.692308,6789.000000,3477.000000
80,[18:58:56.9080],3510.333333,4931.545455,6772.384615,4218.000000
81,[18:58:57.2080],2758.153846,4653.000000,6766.000000,3783.000000
82,[18:58:57.5080],3006.000000,3658.000000,7411.000000,4859.153846
83,[18:58:57.8080],1881.000000,4521.000000,6304.833333,4503.000000
